,original,paraphrase,similar
320,اجتمعت تحت ظلال هذه الدولة أشلاء الأندلُس المنهارة والتي انكمشت أطرافها فيما وراء نهر الوادي الكبير جنوباً، وشغلت شرقاً رُقعةً مُتواضعةً من جيَّان وبياسة وإستجَّة حتَّى البحر المُتوسِّط، ومن ألمرية وإلبيرة غرباً حتَّى مصب الوادي الكبير.,انهارت أطلال الأندلس تحت ظل هذه الدولة التي ضمت منطقة من الشرق إلى البحر الأبيض المتوسط ​​ومن الميرا إلى الغرب.,True
393,اُستُعمِلَت القنبلة الذرية مرتين في تاريخ الحروب؛ وكانتا كلتاهما أثناء الحرب العالمية الثانية عندما قامت الولايات المتحدة بإسقاط قنبلتين ذريتين على مدينتي هيروشيما وناجازاكي في اليابان في أواخر أيام الحرب، أوقعت الهجمة النووية على اليابان أكثر من 000’120 شخص معظمهم من المدنيين وذلك في نفس اللحظة، كما أدت إلى مقتل ما يزيد عن ضعفي هذا الرقم في السنوات اللاحقة نتيجة التسمم الإشعاعي أو ما يعرف بمتلازمة الإشعاع الحادة، انتقدت الكثير من الدول الهجوم النووي على هيروشيما وناجازاكي إلا أن الولايات المتحدة زعمت أنها أفضل طريقة لتجنب أعداد أكبر من القتلى إن استمرت الحرب العالمية الثانية فترة أطول.,ألقت الولايات المتحدة قنابل ذرية على اليابان خلال الحرب العالمية الثانية ، مما أسفر عن مقتل أكثر من 100000 شخص.,True
300,"وكان الفلكيون القدماء يعتقدون بأن ""برية هرمس الهرامسة"" (باللاتينية: Solitudo Hermae Trismegisti) تُشكل ميزة أساسية من ميزات الكوكب، حيث قيل بأنها تغطي تقريباً ربع ربعه الجنوبي الشرقي.",اتهم عدد من الحكومات إيران بامتلاكها قدرة نووية.,False
476,أصغر البرمائيَّات (والفقاريَّات عُمومًا) هو الضُفيدع الأماوي (باللاتينية: Paedophryne amauensis) من غينيا الجديدة، البالغ طوله 7.7 مليمترات (0.30 إنشًا)، أمَّا أضخمها فهو السمندر الصيني الجنوبي العملاق (باللاتينية: Andrias sligoi) البالغ طوله 1.8 أمتار.,تعتبر معركة عين جالوت من أهم المعارك في التاريخ الإسلامي.,False
157,"سمي الألبوم ""Loose"" الذي يعني بالعربية ""حرة"" بشكل عفوي أثناء عملية تسجيل وإعداد الألبوم، ويعتبر قرار تسميته بهذا الاسم قراراً ذكياً، فقد ساعد العنوان على انتشار الألبوم حول العالم.",يشبه عطارد قمر الأرض في شكله ، حيث يحتوي على العديد من الفوهات الصدمية ، ومناطق بسيطة ملساء ، وليس له أقمار طبيعية أو غلاف جوي ، ولكنه يحتوي على قلب حديدي على عكس القمر ، مما يؤدي إلى توليد مغناطيسي. الحقل يساوي 1٪ من,False
461,ومع مُرُور الزمن، تقلَّص حجم البرمائيَّات وقلَّ تنوُّعها، حتَّى اقتصرت على طُويئفة ملساء الجلد الباقية إلى اليوم.,حتى تم حصرهم في النطاق ذي البشرة الناعمة ، انخفض حجم السمندل وانخفض تنوعهم.,True
249,لعطارد أعلى قيمة للشذوذ المداري من بين جميع كواكب المجموعة الشمسية، ولديه أصغر ميل محوري من بين هذه الكواكب وهو يكمل ثلاث دورات حول محوره لكل دورتين مداريتين.,يحتوي عطارد على أعلى قيمة للشذوذ بين جميع الكواكب في النظام الشمسي ولديه أصغر ميل بين الكواكب.,True
370,السلاح النووي هو سلاح تدمير فتاك يستخدم عمليات التفاعل النووي، يعتمد في قوته التدميرية على عملية الانشطار النووي أو الاندماج النووي؛ ونتيجة لهذه العملية تكون قوة انفجار قنبلة نووية صغيرة أكبر بكثير من قوة انفجار أضخم القنابل التقليدية، حيث أن بإمكان قنبلة نووية واحدة تدمير أو إلحاق أضرار فادحة بمدينة بكاملها.,أكبر سمندل في العالم هو السمندل الصيني الجنوبي العملاق (لاتيني: Andrias sligoi) ، وأصغره هو الضفدع الأمومي من نيوزيلندا.,False
3,مي زيادة (1886-1941) أديبة وكاتبة عربية وُلدت في الناصرة عام 1886، اسمها الأصلي كان ماري إلياس زيادة، واختارت لنفسها اسم مي فيما بعد.,كاتبة وكاتبة عربية من مواليد 1886 ، اختارت اسم مي لنفسها بعد تغيير اسمها.,True
57,اعتمدت كولِنز في كتابة مباريات الجوع على مضامين من الميثولوجيا الإغريقية، المصارعة الرومانية وتلفزيون الواقع.,يقال إن أول أغنيتين في الألبوم ، Do It و Wait For You ، قد سُرقت من أغانٍ أخرى.,False
