,original,paraphrase,similar
450,"On the eve of the Glorious Revolution the standing army in Scotland was about 3,250 men.","In later interviews, she said the political realities reflected in Saman are still applicable to post-Suharto Indonesia.",False
247,"For his work and his persistent advocacy, which helped expand the National Park system, he was awarded the Presidential Medal of Freedom in 1980.","The conflict between England and the Union of Crowns ended in 1603, but England's foreign policy opened the door for Scottish shipping to attack.",False
158,She worked in design for Yahoo!,The people were expected to provide their own equipment.,False
327,James IV founded a harbour at Newhaven and a dockyard at the Pools of Airth.,James IV built a harbour at Newhaven and a dockyard at the Pools of Airth.,True
3,"The first season of the military science fiction television series Stargate SG-1 commenced airing on the Showtime channel in the United States on July 27, 1997, concluded on the Sci Fi channel on March 6, 1998, and contained 22 episodes.",Ragnall's rule was challenged by a group of Christian Vikings.,False
356,The chief use of naval power in his reign were a series of expeditions to the Isles and France.,The Royal Navy was patrolling in Scottish waters.,False
354,James V built a new harbour at Burntisland in 1542.,A professional navy of three warships and a fleet of five ships were established in the 1690s to protect local shipping.,False
159,She worked in design for Yahoo!,The troops had bows and swords.,False
102,"Ragnall was most probably among those Vikings expelled from Dublin in 902, whereafter he may have ruled territory in southern Scotland or the Isle of Man.","The Zone System is a method of achieving a desired final print through a deep technical understanding of how tonal range is recorded and developed during exposure, negative development and printing.",False
412,Montrose's forces were short of heavy artillery suitable for siege warfare and had only a small force of cavalry.,Saman is a novel by Ayu Utami.,False
488,"At the Union, the standing army was seven units of infantry, two of horse and one troop of Horse Guards, besides varying levels of fortress artillery.","The Union had a standing army of seven units of infantry, two of horse and one troop of Horse Guards.",True
134,"His reign saw three issues of coinage, although this was perhaps done on the orders of Hrotheweard, Archbishop of York.",He helped to found the Center for Creative Photography at the University of Arizona and helped stage that department's first photography exhibition.,False
105,"In 917, he and his kinsman Sitric Cáech sailed separate fleets to Ireland where they won several battles against local kings.",He and his kinsman Sitric Cech fought several battles against local kings in Ireland.,True
419,"During the Bishops' Wars, Scottish privateers took English prizes.",Scottish privateers took English prizes in the Bishops' Wars.,True
250,"Adams was a key advisor in establishing the photography department at the Museum of Modern Art in New York, an important landmark in securing photography's institutional legitimacy.",He used naval power to go to the Isles and France.,False
243,He was later contracted with the United States Department of the Interior to make photographs of national parks.,He was hired by the United States Department of the Interior to take photographs of national parks.,True
258,"He helped to stage that department's first photography exhibition, helped found the photography magazine Aperture, and co-founded the Center for Creative Photography at the University of Arizona.",He helped to found the Center for Creative Photography at the University of Arizona and helped to stage that department's first photography exhibition.,True
191,It was announced in August 2020 that Cooper and Cindy Chupack would be producing a comedy show for CBS based on How to Be Successful Without Hurting Men's Feelings.,In August 2020 it was announced that Cooper and Cindy Chupack would be producing a comedy show for CBS based on How to Be Successful Without Hurting Men's Feelings.,True
368,In 1626 a squadron of three ships were bought and equipped for protection and there were marque fleets of privateers.,In 1626 a squadron of three ships were purchased and equipped for protection.,True
24,"However, they encountered a powerful enemy in the film named the Goa'uld, who are bent on destroying Earth and all who oppose them.","They encountered a powerful enemy in the film, who were bent on destroying Earth and all who oppose them.",True
463,"Scottish seamen received protection against arbitrary impressment, but a fixed quota of conscripts for the Royal Navy was levied from the sea-coast burghs.","It has won several awards, including the 2000 Prince Claus Award.",False
245,"For his work and his persistent advocacy, which helped expand the National Park system, he was awarded the Presidential Medal of Freedom in 1980.",The new harbour was built by James V.,False
389,"As armed conflict between the Covenanter regime in Scotland and Charles I in the Bishops' Wars became likely, many mercenaries returned home, including experienced leaders like Alexander and David Leslie and these veterans played an important role in training recruits.","As armed conflict between the Covenanter regime in Scotland and Charles I in the Bishops' Wars became likely, many mercenaries returned home, including experienced leaders like Alexander and David Leslie, who played an important role in training recruits.",True
215,"He and Fred Archer developed an exacting system of image-making called the Zone System, a method of achieving a desired final print through a deeply technical understanding of how tonal range is recorded and developed during exposure, negative development, and printing.",There were attempts to create naval forces in the 15th century.,False
367,In 1626 a squadron of three ships were bought and equipped for protection and there were marque fleets of privateers.,"In 1626, a squadron of three ships were purchased and equipped for protection.",True
447,"Pikemen became less important and after the introduction of the socket bayonet disappeared altogether, while matchlock muskets were replaced by the more reliable flintlock.",Saman was published after it won the Jakarta Arts Council Novel Competition.,False
7,The show itself is a spin-off from the 1994 hit movie Stargate written by Dean Devlin and Roland Emmerich.,A group of Christian Vikings opposed to Ragnall's paganism immediately challenged his rule.,False
161,"and in user experience for Google Docs, Sheets, and Slides while also performing stand-up comedy.","In the mid-sixteenth century there were difficulties in recruitment, but in 1513 these systems produced a large and formidable force.",False
116,"He fought against Constantín mac Áeda, King of Scotland, in the Battle of Corbridge in 918, and although the battle was not decisive it did allow Ragnall to establish himself as king at York.","In the Battle of Corbridge, he was able to establish himself as king at York, despite the fact that the battle was not decisive.",True
173,"Her first two books, 100 Tricks to Appear Smart in Meetings and Draw What Success Looks Like were published in 2016.",Lighter chainmail and highlanders dressed in plaid were used by Highland lords.,False
94,"Ragnall ua Ímair (Old Norse: Rögnvaldr, died 921) or Rægnald was a Viking leader who ruled Northumbria and the Isle of Man in the early 10th century.",Rgnald was a Viking leader who ruled the Isle of Man in the 10th century.,True
373,"In 1627, the Royal Scots Navy and privateers participated in the major expedition to Biscay.",Scottish regiments were part of a series of wars on the European continent.,False
369,In 1626 a squadron of three ships were bought and equipped for protection and there were marque fleets of privateers.,"In 1626, a squadron of three ships was bought and equipped for protection.",True
284,Highland troops often brought bows and two-handed swords.,The troops had bows and swords.,True
313,James IV established a gun foundry in 1511 and gunpowder weaponry fundamentally altered the nature of castle architecture.,The nature of castle architecture was altered by gunpowder weaponry in 1511.,True
396,"Scottish infantry were generally armed with a combination of pike and shot, but individuals may have had weapons including bows and polearms.","Scottish infantry were generally armed with a combination of pike and shot, but individuals may have had weapons including bows and polearms.",True
348,Despite truces with England there were periodic outbreaks of a guerre de course.,There were occasional outbreaks of a guerre de course despite truces with England.,True
142,"Ragnall died the following year, whereupon the Annals of Ulster describe him as ""king of the fair foreigners and the dark foreigners"".","The Annals of Ulster described Ragnall as the ""king of the fair foreigners and the dark foreigners"" after he died.",True
164,"and in user experience for Google Docs, Sheets, and Slides while also performing stand-up comedy.","After the Flodden campaign, the heavy armour was abandoned.",False
110,"Sitric successfully recaptured Dublin and established himself as king, while Ragnall returned to England.",Sitric established himself as king after regaining Dublin.,True
388,"As armed conflict between the Covenanter regime in Scotland and Charles I in the Bishops' Wars became likely, many mercenaries returned home, including experienced leaders like Alexander and David Leslie and these veterans played an important role in training recruits.",The show is a spin-off of the 1994 movie Stargate.,False
21,"However, they encountered a powerful enemy in the film named the Goa'uld, who are bent on destroying Earth and all who oppose them.","The Goa'uld, who are bent on destroying Earth, were encountered in the film.",True
263,"Warfare in early modern Scotland includes all forms of military activity in Scotland or by Scottish forces, between the adoption of new ideas of the Renaissance in the early sixteenth century and the military defeat of the Jacobite movement in the mid-eighteenth century.","Between the adoption of new ideas of the Renaissance in the early sixteenth century and the military defeat of the Jacobite movement in the mid-eightteenth century, warfare in early modern Scotland included all forms of military activity in Scotland.",True
57,Utami also includes passages reflecting the destructiveness of Suharto's political authoritarianism; in later interviews she said  the political realities reflected in Saman are still applicable to post-Suharto Indonesia.,"Her first two books, 100 tricks to appear smart in meetings and draw what success looks like, were published in 2016",False
42,"Saman deals explicitly  with themes of sexuality, taboo for women writers in Indonesia at that time.","Saman deals with themes of sexuality, taboo for women writers in Indonesia at the time.",True
45,She also writes  about  the  supernatural and mysticism.,Sarah Anne Cooper is based in New York City.,False
311,James IV established a gun foundry in 1511 and gunpowder weaponry fundamentally altered the nature of castle architecture.,gunpowder weaponry fundamentally altered the nature of castle architecture when it was established by James IV in 1511.,True
414,Montrose's forces were short of heavy artillery suitable for siege warfare and had only a small force of cavalry.,"There was a small force of cavalry, but they were not strong enough for siege warfare.",True
105,"In 917, he and his kinsman Sitric Cáech sailed separate fleets to Ireland where they won several battles against local kings.","He helped found Group f/64, an association of photographers advocating ""pure"" photography which favored sharp focus and the use of the full tonal range of a photograph.",False
225,"Adams was a life-long advocate for environmental conservation, and his photographic practice was deeply entwined with this advocacy.","Adams was a life-long advocate for the environment, and his photographic practice was entwined with this.",True
398,"Scottish infantry were generally armed with a combination of pike and shot, but individuals may have had weapons including bows and polearms.","Scottish infantry were usually armed with a combination of pike and shot, but individuals may have had weapons.",True
150,Sarah Anne Cooper (born 1977) is a Jamaican-American author and comedian based in New York City.,He co-founded the Center for Creative Photography at the University of Arizona and helped to stage that department's first photography exhibition.,False
63,"Saman won the 1997 Jakarta Arts Council Novel Competition, which led to its publication.",Cooper began uploading videos of herself lip-syncing statements made by Trump.,False
313,James IV established a gun foundry in 1511 and gunpowder weaponry fundamentally altered the nature of castle architecture.,The trace italienne style of fortresses were built during the English occupation.,False
0,"The first season of the military science fiction television series Stargate SG-1 commenced airing on the Showtime channel in the United States on July 27, 1997, concluded on the Sci Fi channel on March 6, 1998, and contained 22 episodes.",The first season of the military science fiction television series began airing on the Showtime channel in the United States in 1997 and ended on theSci Fi channel in 1998.,True
281,Highland troops often brought bows and two-handed swords.,The Civil Wars took place in England and Ireland.,False
127,"This group tried to organise an alliance with Æthelflæd, Lady of the Mercians but this attempt was cut short by her death in 918.",He was hired by the US Department of the Interior to take pictures of national parks.,False
239,He developed his early photographic work as a member of the Sierra Club.,The conflict between England and the Union of Crowns ended in 1603 but England's foreign policy allowed Scottish shipping to attack.,False
307,"Feudal heavy cavalry were replaced with light horse, often drawn from the Borders.","The ""Scotch Guard"" patrol squadrons were established after the Covenanters allied with the English Parliament.",False
496,"The first official Highland regiment to be raised for the British army was the Black Watch in 1740, but the growth of Highland regiments was delayed by the 1745 Jacobite Rebellion.","The Black Watch was raised for the British army in 1740, but it was delayed due to the Jacobite Rebellion.",True
205,"Ansel Easton Adams (February 20, 1902 – April 22, 1984) was an American landscape photographer and environmentalist known for his black-and-white images of the American West.",Adams was known for his black-and-white images of the American West.,True
292,Highland lords tended to continue to use lighter chainmail and ordinary highlanders dressed in the plaid.,Light chainmail and ordinary highlanders dressed in plaid were used by Highland lords.,True
285,Heavy armour was abandoned after the Flodden campaign.,The Civil Wars were fought in England and Ireland.,False
1,"The first season of the military science fiction television series Stargate SG-1 commenced airing on the Showtime channel in the United States on July 27, 1997, concluded on the Sci Fi channel on March 6, 1998, and contained 22 episodes.",Sitric established himself as king after he regained Dublin.,False
303,The pike replaced the spear and the Scots began to convert from the bow to gunpowder firearms.,The Scots converted from bow to gun after the pike replaced the spear.,True
443,The standing army was mainly employed in the suppression of Covenanter rebellions and the guerrilla war undertaken by the Cameronians in the East.,Saman was published after it won the 1997 Jakarta Arts Council Novel Competition.,False
456,The Scots were drawn into King William II's continental wars.,King William II's continental wars drew the Scots in.,True
315,"In the 1540s and 1550s, Scotland was given a defended border of earthwork forts and additions to existing castles.","The ""Scotch Guard"" was established after the Covenanters allied with the English Parliament.",False
121,Ragnall's rule was immediately challenged by a group of Christian Vikings opposed to his paganism.,A group of Christian Vikings opposed to Ragnall's paganism challenged his rule.,True
427,The Scottish navy was unable to withstand the English fleet that accompanied the army led by Cromwell that conquered Scotland in 1649–51 and Scottish ships and crews were split up among the Commonwealth fleet.,The English fleet that accompanied Cromwell's army that conquered Scotland in 1649–51 split the Scottish navy in two.,True
220,The resulting clarity and depth of such images characterized his photography.,The harbour at Newhaven was founded by James IV.,False
479,"In the 1690s a fleet of five ships was established for the Darien Scheme, and a professional navy of three warships to protect local shipping.",A professional navy of three warships and a fleet of five ships were established in the 1690s to protect local shipping.,True
249,"For his work and his persistent advocacy, which helped expand the National Park system, he was awarded the Presidential Medal of Freedom in 1980.",He was given the Presidential Medal of Freedom in 1980 for his work in expanding the National Park system.,True
172,"Her first two books, 100 Tricks to Appear Smart in Meetings and Draw What Success Looks Like were published in 2016.",The Flodden campaign resulted in the abandonment of heavy armour.,False
181,"During the COVID-19 pandemic, Cooper began uploading videos of herself lip-syncing statements made by Donald Trump.",Lighter chainmail and ordinary highlanders dressed in plaid were used by the Highland lords.,False
60,"Saman won the 1997 Jakarta Arts Council Novel Competition, which led to its publication.",Cooper left the company to focus on writing and comedy full-time.,False
90,"Ragnall ua Ímair (Old Norse: Rögnvaldr, died 921) or Rægnald was a Viking leader who ruled Northumbria and the Isle of Man in the early 10th century.","The Venezuela Case, also known as The Monroe Doctrine, is an 1896 American propaganda film.",False
406,"Royalist armies, like those led by James Graham, Marquis of Montrose (1643–44) and in Glencairn's rising (1653–54), were mainly composed of conventionally armed infantry with pike and shot.","Royalist armies, like those led by James Graham, were mostly composed of conventionally armed infantry with pike and shot.",True
437,"At the Restoration, infantry regiments and a few troops of horse were established and there were attempts to found a national militia on the English model.",There were attempts to find a national militia on the English model at the Restoration.,True
84,"As of 2008, it has been translated into six languages and won several awards, including the 2000 Prince Claus Award.",The 2000 Prince Claus Award is one of the awards that it has won.,True
362,"The Union of Crowns in 1603 ended conflict with England, but England's foreign policy opened up Scottish shipping to attack.",There was a professional navy of three warships to protect local shipping in the 1690s.,False
131,"His reign saw three issues of coinage, although this was perhaps done on the orders of Hrotheweard, Archbishop of York.","Hrotheweard, the Archbishop of York, may have ordered the three issues of coinage.",True
26,Saman is an Indonesian novel by Ayu Utami published in  1998.,"It is not clear whether Edward the Elder, King of the Anglo-Saxons, was recognised by Ragnall as his overlord.",False
252,"Adams was a key advisor in establishing the photography department at the Museum of Modern Art in New York, an important landmark in securing photography's institutional legitimacy.","In 1626, a squadron of three ships were purchased and equipped for protection.",False
306,"Feudal heavy cavalry were replaced with light horse, often drawn from the Borders.",Scottish privateers took English prizes during the Bishops' Wars.,False
333,"He acquired a total of 38 ships including the Great Michael, at that time the largest in Europe.",The Great Michael was one of 38 ships he acquired at that time.,True
107,"In 917, he and his kinsman Sitric Cáech sailed separate fleets to Ireland where they won several battles against local kings.",He and his kinsman Sitric Cech fought against local kings in Ireland.,True
12,"Stargate SG-1 re-introduced supporting characters from the film universe, such as Jonathan ""Jack"" O'Neill and Daniel Jackson and included new characters such as Teal'c, George Hammond and Samantha ""Sam"" Carter.",The attempt to organize an alliance with Lady of the Mercians was cut short by her death.,False
279,"Individuals were expected to provide their own equipment, including axes and pole arms.",lancers may have been included in the cavalry that was equipped with pistols and swords.,False
264,"Warfare in early modern Scotland includes all forms of military activity in Scotland or by Scottish forces, between the adoption of new ideas of the Renaissance in the early sixteenth century and the military defeat of the Jacobite movement in the mid-eighteenth century.","Between the adoption of new ideas of the Renaissance in the early 16th century and the military defeat of the Jacobite movement in the mid-eightth century, warfare in early modern Scotland included all forms of military activity.",True
205,"Ansel Easton Adams (February 20, 1902 – April 22, 1984) was an American landscape photographer and environmentalist known for his black-and-white images of the American West.",gunpowder weaponry changed the nature of castle architecture when it was established by James IV in 1511.,False
29,Saman is an Indonesian novel by Ayu Utami published in  1998.,Saman is a novel by Utami.,True
99,He was a grandson of Ímar and a member of the Uí Ímair.,He was the grandson of mar and a member of the U mair.,True
379,The Scots also returned to West Indies and in 1629 took part in the capture of Quebec.,The Scots took part in the capture of Quebec in 1629.,True
436,"At the Restoration, infantry regiments and a few troops of horse were established and there were attempts to found a national militia on the English model.",There were attempts to create a national militia on the English model at the Restoration.,True
294,Highland lords tended to continue to use lighter chainmail and ordinary highlanders dressed in the plaid.,Light chainmail and ordinary highlanders dressed in plaid were used by the Highland lords.,True
354,James V built a new harbour at Burntisland in 1542.,The Burntisland harbour was built in 1542 by James V.,True
269,"In the late Middle Ages, Scottish armies were assembled on the basis of common service, feudal obligations and money contracts of bonds of manrent.",The Civil Wars in England and Ireland were fought by Covenanter armies.,False
478,"In the 1690s a fleet of five ships was established for the Darien Scheme, and a professional navy of three warships to protect local shipping.","He was a member of the U mair, the grandson of mar.",False
157,She worked in design for Yahoo!,She worked at Yahoo!,True
200,"It features an allegorical fight over national determinism between the British Empire, the United States and Venezuela.","There is a fight between the British Empire, the United States and Venezuela.",True
331,"He acquired a total of 38 ships including the Great Michael, at that time the largest in Europe.",The suppression of Covenanter rebellions was mostly done by the standing army.,False
259,"He helped to stage that department's first photography exhibition, helped found the photography magazine Aperture, and co-founded the Center for Creative Photography at the University of Arizona.",He helped to found the Center for Creative Photography at the University of Arizona and helped stage that department's first photography exhibition.,True
485,"At the Union, the standing army was seven units of infantry, two of horse and one troop of Horse Guards, besides varying levels of fortress artillery.","There were seven units of infantry, two of horse and one troop of Horse Guards at the Union.",True
106,"In 917, he and his kinsman Sitric Cáech sailed separate fleets to Ireland where they won several battles against local kings.","The Zone System is a method of achieving a desired final print through a deep technical understanding of how the tonal range is recorded and developed during exposure, negative development, and printing.",False
349,Despite truces with England there were periodic outbreaks of a guerre de course.,Scottish privateers were involved in the war.,False
29,Saman is an Indonesian novel by Ayu Utami published in  1998.,A Jamaican-American author and comedian named Sarah Anne Cooper is based in New York City.,False
43,"Saman deals explicitly  with themes of sexuality, taboo for women writers in Indonesia at that time.","While performing stand-up comedy, I was also in the user experience for the products.",False
228,"Adams was a life-long advocate for environmental conservation, and his photographic practice was deeply entwined with this advocacy.","Adams was a life-long advocate for the environment, and his photographic practice was deeply entwined with this.",True
213,"He helped found Group f/64, an association of photographers advocating ""pure"" photography which favored sharp focus and the use of the full tonal range of a photograph.",The Great Michael was one of 38 ships he acquired at that time.,False
141,"Ragnall died the following year, whereupon the Annals of Ulster describe him as ""king of the fair foreigners and the dark foreigners"".",The establishment of the photography department at the Museum of Modern Art in New York is an important landmark in securing photography's institutional legitimacy.,False
358,The chief use of naval power in his reign were a series of expeditions to the Isles and France.,The expeditions to the Isles and France were the main use of naval power in his reign.,True
318,"In the 1540s and 1550s, Scotland was given a defended border of earthwork forts and additions to existing castles.","At the Restoration, there were attempts to establish a national militia on the English model.",False
154,Sarah Anne Cooper (born 1977) is a Jamaican-American author and comedian based in New York City.,A Jamaican-American author and comedian named Sarah Anne Cooper is based in New York City.,True
106,"In 917, he and his kinsman Sitric Cáech sailed separate fleets to Ireland where they won several battles against local kings.",He and his kinsman Sitric Cech fought many battles against local kings in Ireland.,True
474,Scottish privateers played a major part in the Second Anglo-Dutch War.,Scottish privateers were involved in the war.,True
