,original,paraphrase,similar
274,"Avec, il remporte presque toutes les courses auxquelles il participe et est le meilleur pilote de voiturettes de la saison, ce qui lui ouvre les portes de l'écurie Mercedes.","Cette législation, conservée dans les archives, s'applique à tous, pour le bien commun et l'harmonie sociale.",False
263,"Avec sa propre structure et des mécaniciens indépendants, il renoue avec le succès avec notamment trois victoires de rang.",Il a renoué avec le succès avec sa propre structure et sa mécanique indépendante.,True
251,"En 1935, il conclut un accord avec la firme britannique ERA.",La délégation de pouvoir signifie que tout membre de l'administration ne peut agir qu'au nom de la personne royale.,False
349,"Comblés de biens, les dieux se doivent d'actionner favorablement les forces de la nature pour un bénéfice commun à tous les Égyptiens.","Remplis de bonnes choses, les dieux se doivent de faire fonctionner la nature au profit de tous les Égyptiens.",True
94,"Imbert de Batarnay, vers la fin du XVe siècle et le début du XVIe siècle, originaire du Dauphiné, conseiller de quatre rois de France, est l'artisan du renouveau monumental de Montrésor où il introduit l'architecture Renaissance (château et collégiale).","Le 25 janvier, il y avait près de quatre millions d'exemplaires vendus.",False
495,"Lors des négociations de paix, son talent de diplomate lui permet de réaliser en partie la Grande Idée avec les traités de Neuilly et de Sèvres.","Un exilé polonais arrivé à Montrésor en 1849, il est homme d'affaires et écrivain, et sa famille vit toujours au château, il est maire pendant 10 ans.",False
171,"Dans la campagne solo, le joueur contrôle la protagoniste Chell, réveillée de sa biostase après plusieurs années, qui doit naviguer dans le centre d'enrichissement d'Aperture Science délabré pendant sa reconstruction par l'ordinateur surpuissant réactivé, GLaDOS, doublée par Ellen McLain en version originale et par Scarlett Perdereau en version française.","Le joueur contrôle Chell, réveillée de sa biostase après plusieurs années, qui doit naviguer dans le centre d'enrichissement délabré d'Aperture Science pendant qu'il est reconstruit par l'ordinateur surpuissant relancé, GLaDOS.",True
9,"Deux fois champion d'Italie de vitesse moto en 1925 et 1927, champion d'Europe de vitesse moto en 1926 et champion d'Europe des pilotes automobiles en 1932, il reste célèbre tant pour ses exploits en course que pour sa personnalité et son style de pilotage.",Il est connu autant pour ses exploits de course que pour sa personnalité et son style.,True
88,"Foulques III d'Anjou, dit Foulques Nerra, comte d'Anjou, ordonne la construction du premier donjon sur le site dans la première moitié du XIe siècle.","Le premier donjon du site fut commandé par Foulques III d'Anjou, comte d'Anjou, dans la première moitié du XIe siècle.",True
179,"Le jeu introduit de nouveaux personnages comme Wheatley et Cave Johnson respectivement interprétés en version originale par Stephen Merchant et J. K. Simmons, et par Guillaume Lebon et Paul Borne en version française.","Sous la pluie de Spa, alors qu'il était en tête, sa voiture a glissé hors de la route, s'est écrasée dans un arbre et a pris feu.",False
50,"La relation avec Enzo Ferrari empirant courant 1937, il s'essaye au pilotage d'une des Flèches d'Argent d'Auto Union puis rejoint la firme allemande en 1938 et lui reste fidèle jusqu'au début de la Seconde Guerre mondiale.","Il rejoint la firme allemande en 1938 et y reste fidèle jusqu'au début de la Seconde Guerre mondiale, après s'être essayé au pilotage de l'une des flèches d'argent de l'Auto Union.",True
14,Nuvolari commence à piloter en compétition motocycliste en 1920 alors qu'il est déjà âgé de vingt-sept ans.,"À l'âge de vingt-sept ans, Nuvolari a commencé à participer à des courses de motos.",True
232,Il trouve la mort lors du Grand Prix de Belgique 1939.,Il est mort au Grand Prix de Belgique.,True
291,"En 1939, il subit la concurrence des pilotes allemands et se voit privé de départ à Pau, car les voitures reviennent en priorité aux pilotes allemands en dépit de ses performances aux essais.","Un homme politique grec est décédé à Paris, en France, à l'âge de 71 ans.",False
64,Il meurt en 1953 d'un accident vasculaire cérébral.,Les personnages Atlas et P-Body reçoivent chacun un générateur de portail et doivent travailler ensemble pour résoudre des énigmes et trouver une issue de secours dans un mode coopératif à deux joueurs dans Portal 2.,False
247,La retraite sportive prématurée de ce dernier à la fin de l'année conduit Seaman à monter une structure semi-indépendante.,Seaman a mis en place une structure semi-indépendante après la retraite prématurée de ce dernier du sport.,True
447,"Premier ministre, il mène une politique de modernisation du royaume, principalement en ce qui concerne l'armée et la marine, afin de permettre au pays d'affronter les conflits qui se dessinent.",Il est mort d'un accident vasculaire cérébral en 1953.,False
